Date,Series,p2_5,p16,p50,p84,p97_5
2014-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2014-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2015-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2015-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2015-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2015-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2016-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2016-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2016-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2016-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2017-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2017-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2017-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2017-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2018-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2018-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2018-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2018-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2019-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2019-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2019-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2019-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2020-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2020-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2020-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2020-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2021-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2021-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2021-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2021-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2022-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2022-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2022-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2022-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2023-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2023-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2023-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2023-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2024-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2024-04-01,Pi,0.0,0.0,0.0,0.0,0.0
2024-07-01,Pi,0.0,0.0,0.0,0.0,0.0
2024-10-01,Pi,0.0,0.0,0.0,0.0,0.0
2025-01-01,Pi,0.0,0.0,0.0,0.0,0.0
2025-04-01,Pi,0.0,0.0,0.0,0.0,0.0
1960-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1960-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1960-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1960-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1961-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1961-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1961-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1961-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1962-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1962-04-01,EPi,0.0,0.0,0.0,0.0,0.0
